id,Region,Year,male_participants,female_participants,total_participants,male_participation_rate,female_participation_rate
1988_HKG,HKG,1988,38,10,48,0.792,0.208
1992_HKG,HKG,1992,28,10,38,0.737,0.263
1996_HKG,HKG,1996,14,9,23,0.609,0.391
2000_HKG,HKG,2000,19,12,31,0.613,0.387
2004_HKG,HKG,2004,14,18,32,0.438,0.563
2008_HKG,HKG,2008,17,17,34,0.5,0.5
2012_HKG,HKG,2012,21,20,41,0.512,0.488
2016_HKG,HKG,2016,15,22,37,0.405,0.595
1968_HON,HON,1968,6,0,6,1,0
1976_HON,HON,1976,3,0,3,1,0
1984_HON,HON,1984,7,3,10,0.7,0.3
1988_HON,HON,1988,7,1,8,0.875,0.125
1992_HON,HON,1992,7,4,11,0.636,0.364
1996_HON,HON,1996,4,3,7,0.571,0.429
2000_HON,HON,2000,18,2,20,0.9,0.1
2004_HON,HON,2004,3,2,5,0.6,0.4
2008_HON,HON,2008,23,2,25,0.92,0.08
2012_HON,HON,2012,22,3,25,0.88,0.12
2016_HON,HON,2016,22,1,23,0.957,0.043
1896_HUN,HUN,1896,7,0,7,1,0
1900_HUN,HUN,1900,18,0,18,1,0
1904_HUN,HUN,1904,4,0,4,1,0
1908_HUN,HUN,1908,65,0,65,1,0
1912_HUN,HUN,1912,121,0,121,1,0
1924_HUN,HUN,1924,90,3,93,0.968,0.032
1928_HUN,HUN,1928,105,16,121,0.868,0.132
1932_HUN,HUN,1932,58,4,62,0.935,0.065
1936_HUN,HUN,1936,216,22,238,0.908,0.092
1948_HUN,HUN,1948,124,26,150,0.827,0.173
1952_HUN,HUN,1952,170,31,201,0.846,0.154
1956_HUN,HUN,1956,92,21,113,0.814,0.186
1960_HUN,HUN,1960,159,28,187,0.85,0.15
1964_HUN,HUN,1964,172,38,210,0.819,0.181
1968_HUN,HUN,1968,143,34,177,0.808,0.192
1972_HUN,HUN,1972,187,46,233,0.803,0.197
1976_HUN,HUN,1976,126,55,181,0.696,0.304
1980_HUN,HUN,1980,183,82,265,0.691,0.309
1984_HUN,HUN,1984,7,2,9,0.778,0.222
1988_HUN,HUN,1988,155,38,193,0.803,0.197
1992_HUN,HUN,1992,172,69,241,0.714,0.286
1996_HUN,HUN,1996,147,66,213,0.69,0.31
2000_HUN,HUN,2000,109,69,178,0.612,0.388
2004_HUN,HUN,2004,119,90,209,0.569,0.431
2008_HUN,HUN,2008,88,83,171,0.515,0.485
2012_HUN,HUN,2012,93,59,152,0.612,0.388
2016_HUN,HUN,2016,88,66,154,0.571,0.429
1952_INA,INA,1952,3,0,3,1,0
1956_INA,INA,1956,20,2,22,0.909,0.091
1960_INA,INA,1960,20,2,22,0.909,0.091
1968_INA,INA,1968,6,0,6,1,0
1972_INA,INA,1972,3,3,6,0.5,0.5
1976_INA,INA,1976,5,2,7,0.714,0.286
1984_INA,INA,1984,13,3,16,0.813,0.188
1988_INA,INA,1988,23,6,29,0.793,0.207
1992_INA,INA,1992,27,15,42,0.643,0.357
1996_INA,INA,1996,23,17,40,0.575,0.425
2000_INA,INA,2000,27,20,47,0.574,0.426
2004_INA,INA,2004,22,16,38,0.579,0.421
2008_INA,INA,2008,15,9,24,0.625,0.375
2012_INA,INA,2012,13,9,22,0.591,0.409
2016_INA,INA,2016,17,11,28,0.607,0.393
1900_IND,IND,1900,1,0,1,1,0
1920_IND,IND,1920,5,0,5,1,0
1924_IND,IND,1924,19,1,20,0.95,0.05
1928_IND,IND,1928,21,0,21,1,0
1932_IND,IND,1932,19,0,19,1,0
1936_IND,IND,1936,27,0,27,1,0
1948_IND,IND,1948,79,0,79,1,0
1952_IND,IND,1952,60,4,64,0.938,0.063
1956_IND,IND,1956,58,1,59,0.983,0.017
1960_IND,IND,1960,45,0,45,1,0
1964_IND,IND,1964,53,1,54,0.981,0.019
1968_IND,IND,1968,26,0,26,1,0
1972_IND,IND,1972,40,1,41,0.976,0.024
1976_IND,IND,1976,26,0,26,1,0
1980_IND,IND,1980,56,16,72,0.778,0.222
1984_IND,IND,1984,42,6,48,0.875,0.125
1988_IND,IND,1988,41,8,49,0.837,0.163
1992_IND,IND,1992,48,6,54,0.889,0.111
1996_IND,IND,1996,40,9,49,0.816,0.184
2000_IND,IND,2000,44,21,65,0.677,0.323
2004_IND,IND,2004,48,25,73,0.658,0.342
2008_IND,IND,2008,31,22,53,0.585,0.415
2012_IND,IND,2012,58,23,81,0.716,0.284
2016_IND,IND,2016,61,51,112,0.545,0.455
1992_IOA,IOA,1992,39,19,58,0.672,0.328
2000_IOA,IOA,2000,3,1,4,0.75,0.25
2012_IOA,IOA,2012,3,1,4,0.75,0.25
2016_IOA,IOA,2016,8,1,9,0.889,0.111
1900_IRI,IRI,1900,1,0,1,1,0
1948_IRI,IRI,1948,36,0,36,1,0
1952_IRI,IRI,1952,22,0,22,1,0
1956_IRI,IRI,1956,20,0,20,1,0
1960_IRI,IRI,1960,23,0,23,1,0
1964_IRI,IRI,1964,62,4,66,0.939,0.061
1968_IRI,IRI,1968,18,0,18,1,0
1972_IRI,IRI,1972,52,0,52,1,0
1976_IRI,IRI,1976,84,4,88,0.955,0.045
1988_IRI,IRI,1988,23,0,23,1,0
1992_IRI,IRI,1992,36,0,36,1,0
1996_IRI,IRI,1996,17,1,18,0.944,0.056
2000_IRI,IRI,2000,32,1,33,0.97,0.03
2004_IRI,IRI,2004,36,1,37,0.973,0.027
2008_IRI,IRI,2008,51,3,54,0.944,0.056
2012_IRI,IRI,2012,44,8,52,0.846,0.154
2016_IRI,IRI,2016,54,9,63,0.857,0.143
1924_IRL,IRL,1924,46,2,48,0.958,0.042
1928_IRL,IRL,1928,33,5,38,0.868,0.132
1932_IRL,IRL,1932,14,2,16,0.875,0.125
1948_IRL,IRL,1948,68,5,73,0.932,0.068
1952_IRL,IRL,1952,19,0,19,1,0
1956_IRL,IRL,1956,17,1,18,0.944,0.056
1960_IRL,IRL,1960,47,2,49,0.959,0.041
1964_IRL,IRL,1964,24,1,25,0.96,0.04
1968_IRL,IRL,1968,25,6,31,0.806,0.194
1972_IRL,IRL,1972,51,8,59,0.864,0.136
1976_IRL,IRL,1976,41,3,44,0.932,0.068
1980_IRL,IRL,1980,44,3,47,0.936,0.064
1984_IRL,IRL,1984,28,14,42,0.667,0.333
1988_IRL,IRL,1988,52,9,61,0.852,0.148
1992_IRL,IRL,1992,52,9,61,0.852,0.148
1996_IRL,IRL,1996,62,16,78,0.795,0.205
2000_IRL,IRL,2000,40,24,64,0.625,0.375
2004_IRL,IRL,2004,32,14,46,0.696,0.304
2008_IRL,IRL,2008,39,16,55,0.709,0.291
2012_IRL,IRL,2012,36,28,64,0.563,0.438
2016_IRL,IRL,2016,50,26,76,0.658,0.342
1948_IRQ,IRQ,1948,11,0,11,1,0
1960_IRQ,IRQ,1960,21,0,21,1,0
1964_IRQ,IRQ,1964,13,0,13,1,0
1968_IRQ,IRQ,1968,3,0,3,1,0
1980_IRQ,IRQ,1980,43,0,43,1,0
1984_IRQ,IRQ,1984,23,0,23,1,0
1988_IRQ,IRQ,1988,27,0,27,1,0
1992_IRQ,IRQ,1992,8,0,8,1,0
1996_IRQ,IRQ,1996,3,0,3,1,0
2000_IRQ,IRQ,2000,2,2,4,0.5,0.5
2004_IRQ,IRQ,2004,23,1,24,0.958,0.042
2008_IRQ,IRQ,2008,3,1,4,0.75,0.25
2012_IRQ,IRQ,2012,5,3,8,0.625,0.375
2016_IRQ,IRQ,2016,20,0,20,1,0
1908_ISL,ISL,1908,1,0,1,1,0
1912_ISL,ISL,1912,2,0,2,1,0
1936_ISL,ISL,1936,12,0,12,1,0
1948_ISL,ISL,1948,21,3,24,0.875,0.125
1952_ISL,ISL,1952,20,0,20,1,0
1956_ISL,ISL,1956,8,1,9,0.889,0.111
1960_ISL,ISL,1960,12,1,13,0.923,0.077
1964_ISL,ISL,1964,8,1,9,0.889,0.111
1968_ISL,ISL,1968,10,2,12,0.833,0.167
1972_ISL,ISL,1972,24,1,25,0.96,0.04
1976_ISL,ISL,1976,15,6,21,0.714,0.286
1980_ISL,ISL,1980,14,1,15,0.933,0.067
1984_ISL,ISL,1984,31,4,35,0.886,0.114
1988_ISL,ISL,1988,30,5,35,0.857,0.143
1992_ISL,ISL,1992,28,4,32,0.875,0.125
1996_ISL,ISL,1996,5,4,9,0.556,0.444
2000_ISL,ISL,2000,9,9,18,0.5,0.5
2004_ISL,ISL,2004,21,5,26,0.808,0.192
2008_ISL,ISL,2008,20,7,27,0.741,0.259
2012_ISL,ISL,2012,21,6,27,0.778,0.222
2016_ISL,ISL,2016,3,5,8,0.375,0.625
1952_ISR,ISR,1952,22,3,25,0.88,0.12
1956_ISR,ISR,1956,2,1,3,0.667,0.333
1960_ISR,ISR,1960,17,6,23,0.739,0.261
1964_ISR,ISR,1964,8,2,10,0.8,0.2
1968_ISR,ISR,1968,26,3,29,0.897,0.103
1972_ISR,ISR,1972,12,2,14,0.857,0.143
1976_ISR,ISR,1976,24,2,26,0.923,0.077
1984_ISR,ISR,1984,24,8,32,0.75,0.25
1988_ISR,ISR,1988,14,4,18,0.778,0.222
1992_ISR,ISR,1992,25,5,30,0.833,0.167
1996_ISR,ISR,1996,18,7,25,0.72,0.28
2000_ISR,ISR,2000,29,10,39,0.744,0.256
2004_ISR,ISR,2004,20,16,36,0.556,0.444
2008_ISR,ISR,2008,23,20,43,0.535,0.465
2012_ISR,ISR,2012,19,18,37,0.514,0.486
2016_ISR,ISR,2016,22,25,47,0.468,0.532
1968_ISV,ISV,1968,6,0,6,1,0
1972_ISV,ISV,1972,16,0,16,1,0
1976_ISV,ISV,1976,19,2,21,0.905,0.095
1984_ISV,ISV,1984,26,3,29,0.897,0.103
1988_ISV,ISV,1988,22,5,27,0.815,0.185
1992_ISV,ISV,1992,30,7,37,0.811,0.189
1996_ISV,ISV,1996,6,6,12,0.5,0.5
2000_ISV,ISV,2000,6,3,9,0.667,0.333
2004_ISV,ISV,2004,5,1,6,0.833,0.167
2008_ISV,ISV,2008,6,1,7,0.857,0.143
2012_ISV,ISV,2012,4,3,7,0.571,0.429
2016_ISV,ISV,2016,5,2,7,0.714,0.286
1896_ITA,ITA,1896,1,0,1,1,0
1900_ITA,ITA,1900,22,1,23,0.957,0.043
1904_ITA,ITA,1904,1,0,1,1,0
1908_ITA,ITA,1908,66,0,66,1,0
1912_ITA,ITA,1912,66,0,66,1,0
1920_ITA,ITA,1920,173,1,174,0.994,0.006
1924_ITA,ITA,1924,219,4,223,0.982,0.018
1928_ITA,ITA,1928,169,18,187,0.904,0.096
1932_ITA,ITA,1932,124,0,124,1,0
1936_ITA,ITA,1936,263,21,284,0.926,0.074
1948_ITA,ITA,1948,245,24,269,0.911,0.089
1952_ITA,ITA,1952,236,28,264,0.894,0.106
1956_ITA,ITA,1956,173,27,200,0.865,0.135
1960_ITA,ITA,1960,267,41,308,0.867,0.133
1964_ITA,ITA,1964,210,19,229,0.917,0.083
1968_ITA,ITA,1968,191,23,214,0.893,0.107
1972_ITA,ITA,1972,238,30,268,0.888,0.112
1976_ITA,ITA,1976,230,38,268,0.858,0.142
1980_ITA,ITA,1980,155,50,205,0.756,0.244
1984_ITA,ITA,1984,281,61,342,0.822,0.178
1988_ITA,ITA,1988,254,57,311,0.817,0.183
1992_ITA,ITA,1992,307,104,411,0.747,0.253
1996_ITA,ITA,1996,236,104,340,0.694,0.306
2000_ITA,ITA,2000,246,115,361,0.681,0.319
2004_ITA,ITA,2004,229,135,364,0.629,0.371
2008_ITA,ITA,2008,203,130,333,0.61,0.39
2012_ITA,ITA,2012,158,123,281,0.562,0.438
2016_ITA,ITA,2016,168,141,309,0.544,0.456
1984_IVB,IVB,1984,10,0,10,1,0
1988_IVB,IVB,1988,3,0,3,1,0
1992_IVB,IVB,1992,4,0,4,1,0
1996_IVB,IVB,1996,7,0,7,1,0
2000_IVB,IVB,2000,1,0,1,1,0
2004_IVB,IVB,2004,1,0,1,1,0
2008_IVB,IVB,2008,1,1,2,0.5,0.5
2012_IVB,IVB,2012,1,1,2,0.5,0.5
2016_IVB,IVB,2016,1,3,4,0.25,0.75
1948_JAM,JAM,1948,9,4,13,0.692,0.308
1952_JAM,JAM,1952,6,2,8,0.75,0.25
1956_JAM,JAM,1956,6,0,6,1,0
1964_JAM,JAM,1964,17,4,21,0.81,0.19
1968_JAM,JAM,1968,20,5,25,0.8,0.2
1972_JAM,JAM,1972,21,12,33,0.636,0.364
1976_JAM,JAM,1976,11,9,20,0.55,0.45
1980_JAM,JAM,1980,11,7,18,0.611,0.389
1984_JAM,JAM,1984,31,14,45,0.689,0.311
1988_JAM,JAM,1988,28,11,39,0.718,0.282
1992_JAM,JAM,1992,27,14,41,0.659,0.341
1996_JAM,JAM,1996,27,19,46,0.587,0.413
2000_JAM,JAM,2000,22,26,48,0.458,0.542
2004_JAM,JAM,2004,22,25,47,0.468,0.532
2008_JAM,JAM,2008,23,27,50,0.46,0.54
2012_JAM,JAM,2012,23,22,45,0.511,0.489
2016_JAM,JAM,2016,25,31,56,0.446,0.554
1980_JOR,JOR,1980,4,0,4,1,0
1984_JOR,JOR,1984,12,1,13,0.923,0.077
1988_JOR,JOR,1988,5,2,7,0.714,0.286
1992_JOR,JOR,1992,3,1,4,0.75,0.25
1996_JOR,JOR,1996,3,2,5,0.6,0.4
2000_JOR,JOR,2000,4,4,8,0.5,0.5
2004_JOR,JOR,2004,4,4,8,0.5,0.5
2008_JOR,JOR,2008,3,4,7,0.429,0.571
2012_JOR,JOR,2012,5,4,9,0.556,0.444
2016_JOR,JOR,2016,7,1,8,0.875,0.125
1912_JPN,JPN,1912,2,0,2,1,0
1920_JPN,JPN,1920,15,0,15,1,0
1924_JPN,JPN,1924,19,0,19,1,0
1928_JPN,JPN,1928,45,1,46,0.978,0.022
1932_JPN,JPN,1932,155,18,173,0.896,0.104
1936_JPN,JPN,1936,231,20,251,0.92,0.08
1952_JPN,JPN,1952,71,11,82,0.866,0.134
1956_JPN,JPN,1956,106,16,122,0.869,0.131
1960_JPN,JPN,1960,178,25,203,0.877,0.123
1964_JPN,JPN,1964,311,64,375,0.829,0.171
1968_JPN,JPN,1968,198,34,232,0.853,0.147
1972_JPN,JPN,1972,213,56,269,0.792,0.208
1976_JPN,JPN,1976,203,68,271,0.749,0.251
1980_JPN,JPN,1980,46,4,50,0.92,0.08
1984_JPN,JPN,1984,206,59,265,0.777,0.223
1988_JPN,JPN,1988,223,78,301,0.741,0.259
1992_JPN,JPN,1992,215,100,315,0.683,0.317
1996_JPN,JPN,1996,157,149,306,0.513,0.487
2000_JPN,JPN,2000,156,110,266,0.586,0.414
2004_JPN,JPN,2004,139,167,306,0.454,0.546
2008_JPN,JPN,2008,167,165,332,0.503,0.497
2012_JPN,JPN,2012,136,155,291,0.467,0.533
2016_JPN,JPN,2016,171,164,335,0.51,0.49
1996_KAZ,KAZ,1996,72,24,96,0.75,0.25
2000_KAZ,KAZ,2000,86,44,130,0.662,0.338
2004_KAZ,KAZ,2004,71,43,114,0.623,0.377
2008_KAZ,KAZ,2008,60,70,130,0.462,0.538
2012_KAZ,KAZ,2012,73,40,113,0.646,0.354
2016_KAZ,KAZ,2016,55,46,101,0.545,0.455
1956_KEN,KEN,1956,24,1,25,0.96,0.04
1960_KEN,KEN,1960,27,0,27,1,0
1964_KEN,KEN,1964,37,0,37,1,0
1968_KEN,KEN,1968,36,3,39,0.923,0.077
1972_KEN,KEN,1972,55,2,57,0.965,0.035
1984_KEN,KEN,1984,56,5,61,0.918,0.082
1988_KEN,KEN,1988,70,4,74,0.946,0.054
1992_KEN,KEN,1992,40,9,49,0.816,0.184
1996_KEN,KEN,1996,42,10,52,0.808,0.192
2000_KEN,KEN,2000,34,22,56,0.607,0.393
2004_KEN,KEN,2004,22,24,46,0.478,0.522
2008_KEN,KEN,2008,28,18,46,0.609,0.391
2012_KEN,KEN,2012,27,20,47,0.574,0.426
2016_KEN,KEN,2016,46,33,79,0.582,0.418
1996_KGZ,KGZ,1996,26,7,33,0.788,0.212
2000_KGZ,KGZ,2000,35,13,48,0.729,0.271
2004_KGZ,KGZ,2004,22,7,29,0.759,0.241
2008_KGZ,KGZ,2008,16,4,20,0.8,0.2
2012_KGZ,KGZ,2012,11,3,14,0.786,0.214
2016_KGZ,KGZ,2016,12,7,19,0.632,0.368
2004_KIR,KIR,2004,2,1,3,0.667,0.333
2008_KIR,KIR,2008,2,0,2,1,0
2012_KIR,KIR,2012,2,1,3,0.667,0.333
2016_KIR,KIR,2016,2,1,3,0.667,0.333
1948_KOR,KOR,1948,48,1,49,0.98,0.02
1952_KOR,KOR,1952,18,1,19,0.947,0.053
1956_KOR,KOR,1956,39,0,39,1,0
1960_KOR,KOR,1960,38,4,42,0.905,0.095
1964_KOR,KOR,1964,133,28,161,0.826,0.174
1968_KOR,KOR,1968,46,16,62,0.742,0.258
1972_KOR,KOR,1972,33,14,47,0.702,0.298
1976_KOR,KOR,1976,39,14,53,0.736,0.264
1980_KOR,KOR,1980,6,4,10,0.6,0.4
1984_KOR,KOR,1984,127,63,190,0.668,0.332
1988_KOR,KOR,1988,287,136,423,0.678,0.322
1992_KOR,KOR,1992,173,76,249,0.695,0.305
1996_KOR,KOR,1996,190,113,303,0.627,0.373
2000_KOR,KOR,2000,175,106,281,0.623,0.377
2004_KOR,KOR,2004,145,119,264,0.549,0.451
2008_KOR,KOR,2008,159,106,265,0.6,0.4
2012_KOR,KOR,2012,135,115,250,0.54,0.46
2016_KOR,KOR,2016,103,104,207,0.498,0.502
2016_KOS,KOS,2016,3,5,8,0.375,0.625
1972_KSA,KSA,1972,10,0,10,1,0
1976_KSA,KSA,1976,14,0,14,1,0
1984_KSA,KSA,1984,37,0,37,1,0
1988_KSA,KSA,1988,9,0,9,1,0
1992_KSA,KSA,1992,9,0,9,1,0
1996_KSA,KSA,1996,29,0,29,1,0
2000_KSA,KSA,2000,18,0,18,1,0
2004_KSA,KSA,2004,16,0,16,1,0
2008_KSA,KSA,2008,14,0,14,1,0
2012_KSA,KSA,2012,16,2,18,0.889,0.111
2016_KSA,KSA,2016,7,3,10,0.7,0.3
1968_KUW,KUW,1968,2,0,2,1,0
1972_KUW,KUW,1972,4,0,4,1,0
1976_KUW,KUW,1976,15,0,15,1,0
1980_KUW,KUW,1980,56,0,56,1,0
1984_KUW,KUW,1984,23,0,23,1,0
1988_KUW,KUW,1988,25,0,25,1,0
1992_KUW,KUW,1992,32,0,32,1,0
1996_KUW,KUW,1996,25,0,25,1,0
2000_KUW,KUW,2000,29,0,29,1,0
2004_KUW,KUW,2004,10,1,11,0.909,0.091
2008_KUW,KUW,2008,8,0,8,1,0
2012_KUW,KUW,2012,8,2,10,0.8,0.2
1980_LAO,LAO,1980,17,2,19,0.895,0.105
1988_LAO,LAO,1988,2,1,3,0.667,0.333
1992_LAO,LAO,1992,6,0,6,1,0
1996_LAO,LAO,1996,4,1,5,0.8,0.2
2000_LAO,LAO,2000,2,1,3,0.667,0.333
2004_LAO,LAO,2004,3,2,5,0.6,0.4
2008_LAO,LAO,2008,2,2,4,0.5,0.5
2012_LAO,LAO,2012,2,1,3,0.667,0.333
2016_LAO,LAO,2016,3,2,5,0.6,0.4
1924_LAT,LAT,1924,37,0,37,1,0
1928_LAT,LAT,1928,16,2,18,0.889,0.111
1932_LAT,LAT,1932,5,0,5,1,0
1936_LAT,LAT,1936,52,3,55,0.945,0.055
1992_LAT,LAT,1992,44,13,57,0.772,0.228
1996_LAT,LAT,1996,34,13,47,0.723,0.277
2000_LAT,LAT,2000,30,15,45,0.667,0.333
2004_LAT,LAT,2004,22,10,32,0.688,0.313
2008_LAT,LAT,2008,29,18,47,0.617,0.383
2012_LAT,LAT,2012,31,14,45,0.689,0.311
2016_LAT,LAT,2016,19,13,32,0.594,0.406
1968_LBA,LBA,1968,1,0,1,1,0
1980_LBA,LBA,1980,27,2,29,0.931,0.069
1988_LBA,LBA,1988,6,0,6,1,0
1992_LBA,LBA,1992,5,0,5,1,0
1996_LBA,LBA,1996,5,0,5,1,0
2000_LBA,LBA,2000,3,0,3,1,0
2004_LBA,LBA,2004,6,2,8,0.75,0.25
2008_LBA,LBA,2008,4,2,6,0.667,0.333
2012_LBA,LBA,2012,3,1,4,0.75,0.25
2016_LBA,LBA,2016,6,1,7,0.857,0.143
1956_LBR,LBR,1956,4,0,4,1,0
1960_LBR,LBR,1960,4,0,4,1,0
1964_LBR,LBR,1964,1,0,1,1,0
1972_LBR,LBR,1972,5,0,5,1,0
1984_LBR,LBR,1984,6,1,7,0.857,0.143
1988_LBR,LBR,1988,7,1,8,0.875,0.125
1996_LBR,LBR,1996,4,1,5,0.8,0.2
2000_LBR,LBR,2000,6,2,8,0.75,0.25
2004_LBR,LBR,2004,1,1,2,0.5,0.5
2008_LBR,LBR,2008,2,1,3,0.667,0.333
2012_LBR,LBR,2012,1,2,3,0.333,0.667
2016_LBR,LBR,2016,1,1,2,0.5,0.5
1996_LCA,LCA,1996,5,1,6,0.833,0.167
2000_LCA,LCA,2000,3,2,5,0.6,0.4
2004_LCA,LCA,2004,1,1,2,0.5,0.5
2008_LCA,LCA,2008,1,3,4,0.25,0.75
2012_LCA,LCA,2012,1,3,4,0.25,0.75
2016_LCA,LCA,2016,2,3,5,0.4,0.6
1972_LES,LES,1972,1,0,1,1,0
1980_LES,LES,1980,5,0,5,1,0
1984_LES,LES,1984,4,0,4,1,0
1988_LES,LES,1988,6,0,6,1,0
1992_LES,LES,1992,5,1,6,0.833,0.167
1996_LES,LES,1996,5,4,9,0.556,0.444
2000_LES,LES,2000,4,2,6,0.667,0.333
2004_LES,LES,2004,1,2,3,0.333,0.667
2008_LES,LES,2008,4,1,5,0.8,0.2
2012_LES,LES,2012,2,2,4,0.5,0.5
2016_LES,LES,2016,7,1,8,0.875,0.125
1948_LIB,LIB,1948,10,0,10,1,0
1952_LIB,LIB,1952,10,0,10,1,0
1956_LIB,LIB,1956,3,0,3,1,0
1960_LIB,LIB,1960,21,0,21,1,0
1964_LIB,LIB,1964,9,0,9,1,0
1968_LIB,LIB,1968,14,0,14,1,0
1972_LIB,LIB,1972,18,2,20,0.9,0.1
1976_LIB,LIB,1976,3,1,4,0.75,0.25
1980_LIB,LIB,1980,17,1,18,0.944,0.056
1984_LIB,LIB,1984,25,1,26,0.962,0.038
1988_LIB,LIB,1988,23,2,25,0.92,0.08
1992_LIB,LIB,1992,16,0,16,1,0
1996_LIB,LIB,1996,0,1,1,0,1
2000_LIB,LIB,2000,4,2,6,0.667,0.333
2004_LIB,LIB,2004,3,2,5,0.6,0.4
2008_LIB,LIB,2008,4,2,6,0.667,0.333
2012_LIB,LIB,2012,3,7,10,0.3,0.7
2016_LIB,LIB,2016,4,5,9,0.444,0.556
1936_LIE,LIE,1936,10,0,10,1,0
1948_LIE,LIE,1948,12,0,12,1,0
1952_LIE,LIE,1952,2,0,2,1,0
1956_LIE,LIE,1956,8,0,8,1,0
1960_LIE,LIE,1960,8,0,8,1,0
1964_LIE,LIE,1964,8,0,8,1,0
1968_LIE,LIE,1968,10,1,11,0.909,0.091
1972_LIE,LIE,1972,9,1,10,0.9,0.1
1976_LIE,LIE,1976,10,5,15,0.667,0.333
1980_LIE,LIE,1980,4,3,7,0.571,0.429
1984_LIE,LIE,1984,12,5,17,0.706,0.294
1988_LIE,LIE,1988,20,5,25,0.8,0.2
1992_LIE,LIE,1992,10,4,14,0.714,0.286
1996_LIE,LIE,1996,0,2,2,0,1
2000_LIE,LIE,2000,1,1,2,0.5,0.5
2004_LIE,LIE,2004,1,0,1,1,0
2008_LIE,LIE,2008,2,0,2,1,0
2012_LIE,LIE,2012,1,2,3,0.333,0.667
2016_LIE,LIE,2016,1,2,3,0.333,0.667
1924_LTU,LTU,1924,13,0,13,1,0
1928_LTU,LTU,1928,12,1,13,0.923,0.077
1992_LTU,LTU,1992,39,14,53,0.736,0.264
1996_LTU,LTU,1996,45,16,61,0.738,0.262
2000_LTU,LTU,2000,40,21,61,0.656,0.344
2004_LTU,LTU,2004,47,12,59,0.797,0.203
2008_LTU,LTU,2008,44,27,71,0.62,0.38
2012_LTU,LTU,2012,39,23,62,0.629,0.371
2016_LTU,LTU,2016,48,19,67,0.716,0.284
1900_LUX,LUX,1900,1,0,1,1,0
1912_LUX,LUX,1912,21,0,21,1,0
1920_LUX,LUX,1920,25,0,25,1,0
1924_LUX,LUX,1924,46,2,48,0.958,0.042
1928_LUX,LUX,1928,51,2,53,0.962,0.038
1932_LUX,LUX,1932,3,0,3,1,0
1936_LUX,LUX,1936,52,1,53,0.981,0.019
1948_LUX,LUX,1948,42,3,45,0.933,0.067
1952_LUX,LUX,1952,44,0,44,1,0
1956_LUX,LUX,1956,10,1,11,0.909,0.091
1960_LUX,LUX,1960,47,5,52,0.904,0.096
1964_LUX,LUX,1964,10,2,12,0.833,0.167
1968_LUX,LUX,1968,3,2,5,0.6,0.4
1972_LUX,LUX,1972,10,1,11,0.909,0.091
1976_LUX,LUX,1976,8,0,8,1,0
1980_LUX,LUX,1980,3,0,3,1,0
1984_LUX,LUX,1984,4,1,5,0.8,0.2
1988_LUX,LUX,1988,6,3,9,0.667,0.333
1992_LUX,LUX,1992,6,1,7,0.857,0.143
1996_LUX,LUX,1996,2,4,6,0.333,0.667
2000_LUX,LUX,2000,2,5,7,0.286,0.714
2004_LUX,LUX,2004,6,4,10,0.6,0.4
2008_LUX,LUX,2008,9,4,13,0.692,0.308
2012_LUX,LUX,2012,5,4,9,0.556,0.444
2016_LUX,LUX,2016,5,5,10,0.5,0.5
1964_MAD,MAD,1964,3,0,3,1,0
1968_MAD,MAD,1968,4,0,4,1,0
1972_MAD,MAD,1972,11,0,11,1,0
1980_MAD,MAD,1980,8,3,11,0.727,0.273
1984_MAD,MAD,1984,5,0,5,1,0
1992_MAD,MAD,1992,8,5,13,0.615,0.385
1996_MAD,MAD,1996,4,7,11,0.364,0.636
2000_MAD,MAD,2000,5,6,11,0.455,0.545
2004_MAD,MAD,2004,3,5,8,0.375,0.625
2008_MAD,MAD,2008,4,2,6,0.667,0.333
2012_MAD,MAD,2012,3,4,7,0.429,0.571
2016_MAD,MAD,2016,2,4,6,0.333,0.667
1956_MAL,MAL,1956,31,1,32,0.969,0.031
1960_MAL,MAL,1960,9,0,9,1,0
1960_MAR,MAR,1960,47,0,47,1,0
1964_MAR,MAR,1964,20,0,20,1,0
1968_MAR,MAR,1968,30,0,30,1,0
1972_MAR,MAR,1972,33,2,35,0.943,0.057
1976_MAR,MAR,1976,9,0,9,1,0
1984_MAR,MAR,1984,37,1,38,0.974,0.026
1988_MAR,MAR,1988,27,3,30,0.9,0.1
1992_MAR,MAR,1992,53,3,56,0.946,0.054
1996_MAR,MAR,1996,32,2,34,0.941,0.059
2000_MAR,MAR,2000,46,9,55,0.836,0.164
2004_MAR,MAR,2004,47,8,55,0.855,0.145
2008_MAR,MAR,2008,36,11,47,0.766,0.234
2012_MAR,MAR,2012,46,17,63,0.73,0.27
2016_MAR,MAR,2016,29,19,48,0.604,0.396
1964_MAS,MAS,1964,57,4,61,0.934,0.066
1968_MAS,MAS,1968,31,0,31,1,0
1972_MAS,MAS,1972,42,3,45,0.933,0.067
1976_MAS,MAS,1976,23,0,23,1,0
1984_MAS,MAS,1984,20,1,21,0.952,0.048
1988_MAS,MAS,1988,5,4,9,0.556,0.444
1992_MAS,MAS,1992,26,0,26,1,0
1996_MAS,MAS,1996,32,3,35,0.914,0.086
2000_MAS,MAS,2000,32,8,40,0.8,0.2
2004_MAS,MAS,2004,18,8,26,0.692,0.308
2008_MAS,MAS,2008,18,14,32,0.563,0.438
2012_MAS,MAS,2012,16,13,29,0.552,0.448
2016_MAS,MAS,2016,17,15,32,0.531,0.469
