id,Region,Year,male_participants,female_participants,total_participants,male_gold_medals,male_silver_medals,male_bronze_medals,female_gold_medals,female_silver_medals,female_bronze_medals,male_total_medals,female_total_medals,total_medals
1928_IRL,IRL,1928,33,5,38,1,0,0,0,0,0,1,0,1
1932_IRL,IRL,1932,14,2,16,2,0,0,0,0,0,2,0,2
1948_IRL,IRL,1948,68,5,73,0,0,0,0,0,1,0,1,1
1952_IRL,IRL,1952,19,0,19,0,1,0,0,0,0,1,0,1
1956_IRL,IRL,1956,17,1,18,1,1,3,0,0,0,5,0,5
1960_IRL,IRL,1960,47,2,49,0,0,0,0,0,0,0,0,0
1964_IRL,IRL,1964,24,1,25,0,0,1,0,0,0,1,0,1
1968_IRL,IRL,1968,25,6,31,0,0,0,0,0,0,0,0,0
1972_IRL,IRL,1972,51,8,59,0,0,0,0,0,0,0,0,0
1976_IRL,IRL,1976,41,3,44,0,0,0,0,0,0,0,0,0
1980_IRL,IRL,1980,44,3,47,0,2,1,0,0,0,3,0,3
1984_IRL,IRL,1984,28,14,42,0,1,0,0,0,0,1,0,1
1988_IRL,IRL,1988,52,9,61,0,0,0,0,0,0,0,0,0
1992_IRL,IRL,1992,52,9,61,1,1,0,0,0,0,2,0,2
1996_IRL,IRL,1996,62,16,78,0,0,0,0,0,1,0,1,1
2000_IRL,IRL,2000,40,24,64,0,0,0,0,1,0,0,1,1
2004_IRL,IRL,2004,32,14,46,0,0,0,0,0,0,0,0,0
2008_IRL,IRL,2008,39,16,55,0,1,2,0,0,0,3,0,3
2012_IRL,IRL,2012,36,28,64,0,1,3,1,0,0,4,1,5
2016_IRL,IRL,2016,50,26,76,0,2,0,0,1,0,2,1,3
1948_IRQ,IRQ,1948,11,0,11,0,0,0,0,0,0,0,0,0
1960_IRQ,IRQ,1960,21,0,21,0,0,1,0,0,0,1,0,1
1964_IRQ,IRQ,1964,13,0,13,0,0,0,0,0,0,0,0,0
1968_IRQ,IRQ,1968,3,0,3,0,0,0,0,0,0,0,0,0
1980_IRQ,IRQ,1980,43,0,43,0,0,0,0,0,0,0,0,0
1984_IRQ,IRQ,1984,23,0,23,0,0,0,0,0,0,0,0,0
1988_IRQ,IRQ,1988,27,0,27,0,0,0,0,0,0,0,0,0
1992_IRQ,IRQ,1992,8,0,8,0,0,0,0,0,0,0,0,0
1996_IRQ,IRQ,1996,3,0,3,0,0,0,0,0,0,0,0,0
2000_IRQ,IRQ,2000,2,2,4,0,0,0,0,0,0,0,0,0
2004_IRQ,IRQ,2004,23,1,24,0,0,0,0,0,0,0,0,0
2008_IRQ,IRQ,2008,3,1,4,0,0,0,0,0,0,0,0,0
2012_IRQ,IRQ,2012,5,3,8,0,0,0,0,0,0,0,0,0
2016_IRQ,IRQ,2016,20,0,20,0,0,0,0,0,0,0,0,0
1908_ISL,ISL,1908,1,0,1,0,0,0,0,0,0,0,0,0
1912_ISL,ISL,1912,2,0,2,0,0,0,0,0,0,0,0,0
1936_ISL,ISL,1936,12,0,12,0,0,0,0,0,0,0,0,0
1948_ISL,ISL,1948,21,3,24,0,0,0,0,0,0,0,0,0
1952_ISL,ISL,1952,20,0,20,0,0,0,0,0,0,0,0,0
1956_ISL,ISL,1956,8,1,9,0,1,0,0,0,0,1,0,1
1960_ISL,ISL,1960,12,1,13,0,0,0,0,0,0,0,0,0
1964_ISL,ISL,1964,8,1,9,0,0,0,0,0,0,0,0,0
1968_ISL,ISL,1968,10,2,12,0,0,0,0,0,0,0,0,0
1972_ISL,ISL,1972,24,1,25,0,0,0,0,0,0,0,0,0
1976_ISL,ISL,1976,15,6,21,0,0,0,0,0,0,0,0,0
1980_ISL,ISL,1980,14,1,15,0,0,0,0,0,0,0,0,0
1984_ISL,ISL,1984,31,4,35,0,0,1,0,0,0,1,0,1
1988_ISL,ISL,1988,30,5,35,0,0,0,0,0,0,0,0,0
1992_ISL,ISL,1992,28,4,32,0,0,0,0,0,0,0,0,0
1996_ISL,ISL,1996,5,4,9,0,0,0,0,0,0,0,0,0
2000_ISL,ISL,2000,9,9,18,0,0,0,0,0,1,0,1,1
2004_ISL,ISL,2004,21,5,26,0,0,0,0,0,0,0,0,0
2008_ISL,ISL,2008,20,7,27,0,14,0,0,0,0,14,0,14
2012_ISL,ISL,2012,21,6,27,0,0,0,0,0,0,0,0,0
2016_ISL,ISL,2016,3,5,8,0,0,0,0,0,0,0,0,0
1952_ISR,ISR,1952,22,3,25,0,0,0,0,0,0,0,0,0
1956_ISR,ISR,1956,2,1,3,0,0,0,0,0,0,0,0,0
1960_ISR,ISR,1960,17,6,23,0,0,0,0,0,0,0,0,0
1964_ISR,ISR,1964,8,2,10,0,0,0,0,0,0,0,0,0
1968_ISR,ISR,1968,26,3,29,0,0,0,0,0,0,0,0,0
1972_ISR,ISR,1972,12,2,14,0,0,0,0,0,0,0,0,0
1976_ISR,ISR,1976,24,2,26,0,0,0,0,0,0,0,0,0
1984_ISR,ISR,1984,24,8,32,0,0,0,0,0,0,0,0,0
1988_ISR,ISR,1988,14,4,18,0,0,0,0,0,0,0,0,0
1992_ISR,ISR,1992,25,5,30,0,0,1,0,1,0,1,1,2
1996_ISR,ISR,1996,18,7,25,0,0,1,0,0,0,1,0,1
2000_ISR,ISR,2000,29,10,39,0,0,1,0,0,0,1,0,1
2004_ISR,ISR,2004,20,16,36,1,0,1,0,0,0,2,0,2
2008_ISR,ISR,2008,23,20,43,0,0,1,0,0,0,1,0,1
2012_ISR,ISR,2012,19,18,37,0,0,0,0,0,0,0,0,0
2016_ISR,ISR,2016,22,25,47,0,0,1,0,0,1,1,1,2
1968_ISV,ISV,1968,6,0,6,0,0,0,0,0,0,0,0,0
1972_ISV,ISV,1972,16,0,16,0,0,0,0,0,0,0,0,0
1976_ISV,ISV,1976,19,2,21,0,0,0,0,0,0,0,0,0
1984_ISV,ISV,1984,26,3,29,0,0,0,0,0,0,0,0,0
1988_ISV,ISV,1988,22,5,27,0,1,0,0,0,0,1,0,1
1992_ISV,ISV,1992,30,7,37,0,0,0,0,0,0,0,0,0
1996_ISV,ISV,1996,6,6,12,0,0,0,0,0,0,0,0,0
2000_ISV,ISV,2000,6,3,9,0,0,0,0,0,0,0,0,0
2004_ISV,ISV,2004,5,1,6,0,0,0,0,0,0,0,0,0
2008_ISV,ISV,2008,6,1,7,0,0,0,0,0,0,0,0,0
2012_ISV,ISV,2012,4,3,7,0,0,0,0,0,0,0,0,0
2016_ISV,ISV,2016,5,2,7,0,0,0,0,0,0,0,0,0
1896_ITA,ITA,1896,1,0,1,0,0,0,0,0,0,0,0,0
1900_ITA,ITA,1900,22,1,23,3,2,0,0,0,0,5,0,5
1904_ITA,ITA,1904,1,0,1,0,0,0,0,0,0,0,0,0
1908_ITA,ITA,1908,66,0,66,2,6,0,0,0,0,8,0,8
1912_ITA,ITA,1912,66,0,66,20,1,2,0,0,0,23,0,23
1920_ITA,ITA,1920,173,1,174,45,9,6,0,0,0,60,0,60
1924_ITA,ITA,1924,219,4,223,23,5,21,0,0,0,49,0,49
1928_ITA,ITA,1928,169,18,187,24,10,26,0,12,0,60,12,72
1932_ITA,ITA,1932,124,0,124,14,31,18,0,0,0,63,0,63
1936_ITA,ITA,1936,263,21,284,32,32,5,1,0,0,69,1,70
1948_ITA,ITA,1948,245,24,269,22,24,14,0,2,0,60,2,62
1952_ITA,ITA,1952,236,28,264,15,16,15,1,0,1,46,2,48
1956_ITA,ITA,1956,173,27,200,22,11,10,0,0,0,43,0,43
1960_ITA,ITA,1960,267,41,308,32,18,24,0,0,7,74,7,81
1964_ITA,ITA,1964,210,19,229,12,30,12,0,0,1,54,1,55
1968_ITA,ITA,1968,191,23,214,8,8,20,1,0,0,36,1,37
1972_ITA,ITA,1972,238,30,268,11,7,11,1,1,1,29,3,32
1976_ITA,ITA,1976,230,38,268,3,24,5,0,3,0,32,3,35
1980_ITA,ITA,1980,155,50,205,7,22,8,1,2,0,37,3,40
1984_ITA,ITA,1984,281,61,342,25,4,27,2,2,1,56,5,61
1988_ITA,ITA,1988,254,57,311,11,4,9,0,5,0,24,5,29
1992_ITA,ITA,1992,307,104,411,17,15,16,6,2,4,48,12,60
1996_ITA,ITA,1996,236,104,340,12,15,23,5,7,5,50,17,67
2000_ITA,ITA,2000,246,115,361,12,12,26,6,2,3,50,11,61
2004_ITA,ITA,2004,229,135,364,10,31,37,14,10,2,78,26,104
2008_ITA,ITA,2008,203,130,333,4,11,13,4,3,5,28,12,40
2012_ITA,ITA,2012,158,123,281,10,21,21,4,1,9,52,14,66
2016_ITA,ITA,2016,168,141,309,5,20,20,1,20,2,45,23,68
1984_IVB,IVB,1984,10,0,10,0,0,0,0,0,0,0,0,0
1988_IVB,IVB,1988,3,0,3,0,0,0,0,0,0,0,0,0
1992_IVB,IVB,1992,4,0,4,0,0,0,0,0,0,0,0,0
1996_IVB,IVB,1996,7,0,7,0,0,0,0,0,0,0,0,0
2000_IVB,IVB,2000,1,0,1,0,0,0,0,0,0,0,0,0
2004_IVB,IVB,2004,1,0,1,0,0,0,0,0,0,0,0,0
2008_IVB,IVB,2008,1,1,2,0,0,0,0,0,0,0,0,0
2012_IVB,IVB,2012,1,1,2,0,0,0,0,0,0,0,0,0
2016_IVB,IVB,2016,1,3,4,0,0,0,0,0,0,0,0,0
1948_JAM,JAM,1948,9,4,13,1,2,0,0,0,0,3,0,3
1952_JAM,JAM,1952,6,2,8,3,1,0,0,0,0,4,0,4
1956_JAM,JAM,1956,6,0,6,0,0,0,0,0,0,0,0,0
1964_JAM,JAM,1964,17,4,21,0,0,0,0,0,0,0,0,0
1968_JAM,JAM,1968,20,5,25,0,1,0,0,0,0,1,0,1
1972_JAM,JAM,1972,21,12,33,0,0,1,0,0,0,1,0,1
1976_JAM,JAM,1976,11,9,20,1,1,0,0,0,0,2,0,2
1980_JAM,JAM,1980,11,7,18,0,0,2,0,0,1,2,1,3
1984_JAM,JAM,1984,31,14,45,0,5,0,0,0,0,5,0,5
1988_JAM,JAM,1988,28,11,39,0,6,0,0,1,0,6,1,7
1992_JAM,JAM,1992,27,14,41,0,1,0,0,0,1,1,1,2
1996_JAM,JAM,1996,27,19,46,0,1,6,1,0,6,7,7,14
2000_JAM,JAM,2000,22,26,48,0,6,1,0,8,2,7,10,17
2004_JAM,JAM,2004,22,25,47,0,1,0,4,0,6,1,10,11
2008_JAM,JAM,2008,23,27,50,0,0,0,3,3,6,0,12,12
2012_JAM,JAM,2012,23,22,45,4,0,2,1,5,6,6,12,18
2016_JAM,JAM,2016,25,31,56,6,5,0,0,12,2,11,14,25
1980_JOR,JOR,1980,4,0,4,0,0,0,0,0,0,0,0,0
1984_JOR,JOR,1984,12,1,13,0,0,0,0,0,0,0,0,0
1988_JOR,JOR,1988,5,2,7,0,0,0,0,0,0,0,0,0
1992_JOR,JOR,1992,3,1,4,0,0,0,0,0,0,0,0,0
1996_JOR,JOR,1996,3,2,5,0,0,0,0,0,0,0,0,0
2000_JOR,JOR,2000,4,4,8,0,0,0,0,0,0,0,0,0
2004_JOR,JOR,2004,4,4,8,0,0,0,0,0,0,0,0,0
2008_JOR,JOR,2008,3,4,7,0,0,0,0,0,0,0,0,0
2012_JOR,JOR,2012,5,4,9,0,0,0,0,0,0,0,0,0
2016_JOR,JOR,2016,7,1,8,1,0,0,0,0,0,1,0,1
1912_JPN,JPN,1912,2,0,2,0,0,0,0,0,0,0,0,0
1920_JPN,JPN,1920,15,0,15,0,1,0,0,0,0,1,0,1
1924_JPN,JPN,1924,19,0,19,0,0,1,0,0,0,1,0,1
1928_JPN,JPN,1928,45,1,46,2,5,1,0,1,0,8,1,9
1932_JPN,JPN,1932,155,18,173,8,16,4,0,1,0,28,1,29
1936_JPN,JPN,1936,231,20,251,8,4,10,1,0,0,22,1,23
1952_JPN,JPN,1952,71,11,82,1,7,2,0,0,0,10,0,10
1956_JPN,JPN,1956,106,16,122,4,7,2,0,0,0,13,0,13
1960_JPN,JPN,1960,178,25,203,4,8,9,0,0,1,21,1,22
1964_JPN,JPN,1964,311,64,375,13,2,19,12,0,6,34,18,52
1968_JPN,JPN,1968,198,34,232,9,16,22,0,9,0,47,9,56
1972_JPN,JPN,1972,213,56,269,22,6,5,1,12,0,33,13,46
1976_JPN,JPN,1976,203,68,271,9,4,8,12,0,0,21,12,33
1980_JPN,JPN,1980,46,4,50,0,1,0,0,0,0,1,0,1
1984_JPN,JPN,1984,206,59,265,8,9,12,0,0,13,29,13,42
1988_JPN,JPN,1988,223,78,301,4,2,9,0,1,1,15,2,17
1992_JPN,JPN,1992,215,100,315,5,5,35,1,5,4,45,10,55
1996_JPN,JPN,1996,157,149,306,2,22,2,1,4,11,26,16,42
2000_JPN,JPN,2000,156,110,266,3,2,0,2,25,8,5,35,40
2004_JPN,JPN,2004,139,167,306,10,7,33,9,9,17,50,35,85
2008_JPN,JPN,2008,167,165,332,2,11,7,19,2,6,20,27,47
2012_JPN,JPN,2012,136,155,291,3,14,10,4,26,19,27,49,76
2016_JPN,JPN,2016,171,164,335,7,12,14,8,1,16,33,25,58
1996_KAZ,KAZ,1996,72,24,96,3,2,4,0,0,0,9,0,9
2000_KAZ,KAZ,2000,86,44,130,2,4,0,1,0,0,6,1,7
2004_KAZ,KAZ,2004,71,43,114,1,4,3,0,0,0,8,0,8
2008_KAZ,KAZ,2008,60,70,130,2,2,5,0,2,2,9,4,13
2012_KAZ,KAZ,2012,73,40,113,3,1,3,4,0,2,7,6,13
2016_KAZ,KAZ,2016,55,46,101,3,3,4,0,2,6,10,8,18
1956_KEN,KEN,1956,24,1,25,0,0,0,0,0,0,0,0,0
1960_KEN,KEN,1960,27,0,27,0,0,0,0,0,0,0,0,0
1964_KEN,KEN,1964,37,0,37,0,0,1,0,0,0,1,0,1
1968_KEN,KEN,1968,36,3,39,3,7,2,0,0,0,12,0,12
1972_KEN,KEN,1972,55,2,57,5,3,4,0,0,0,12,0,12
1984_KEN,KEN,1984,56,5,61,1,0,2,0,0,0,3,0,3
1988_KEN,KEN,1988,70,4,74,5,2,2,0,0,0,9,0,9
1992_KEN,KEN,1992,40,9,49,2,4,2,0,0,0,8,0,8
1996_KEN,KEN,1996,42,10,52,1,3,3,0,1,0,7,1,8
2000_KEN,KEN,2000,34,22,56,2,3,1,0,0,1,6,1,7
2004_KEN,KEN,2004,22,24,46,1,2,2,0,2,0,5,2,7
2008_KEN,KEN,2008,28,18,46,4,1,4,2,3,1,9,6,15
2012_KEN,KEN,2012,27,20,47,2,1,4,0,3,1,7,4,11
2016_KEN,KEN,2016,46,33,79,3,3,0,3,3,1,6,7,13
1996_KGZ,KGZ,1996,26,7,33,0,0,0,0,0,0,0,0,0
2000_KGZ,KGZ,2000,35,13,48,0,0,1,0,0,0,1,0,1
2004_KGZ,KGZ,2004,22,7,29,0,0,0,0,0,0,0,0,0
2008_KGZ,KGZ,2008,16,4,20,0,1,1,0,0,0,2,0,2
2012_KGZ,KGZ,2012,11,3,14,0,0,0,0,0,0,0,0,0
2016_KGZ,KGZ,2016,12,7,19,0,0,0,0,0,0,0,0,0
2004_KIR,KIR,2004,2,1,3,0,0,0,0,0,0,0,0,0
2008_KIR,KIR,2008,2,0,2,0,0,0,0,0,0,0,0,0
2012_KIR,KIR,2012,2,1,3,0,0,0,0,0,0,0,0,0
2016_KIR,KIR,2016,2,1,3,0,0,0,0,0,0,0,0,0
1948_KOR,KOR,1948,48,1,49,0,0,2,0,0,0,2,0,2
1952_KOR,KOR,1952,18,1,19,0,0,2,0,0,0,2,0,2
1956_KOR,KOR,1956,39,0,39,0,1,1,0,0,0,2,0,2
1960_KOR,KOR,1960,38,4,42,0,0,0,0,0,0,0,0,0
1964_KOR,KOR,1964,133,28,161,0,2,1,0,0,0,3,0,3
1968_KOR,KOR,1968,46,16,62,0,1,1,0,0,0,2,0,2
1972_KOR,KOR,1972,33,14,47,0,1,0,0,0,0,1,0,1
1976_KOR,KOR,1976,39,14,53,1,1,3,0,0,12,5,12,17
1980_KOR,KOR,1980,6,4,10,0,0,0,0,0,0,0,0,0
1984_KOR,KOR,1984,127,63,190,5,4,6,1,24,1,15,26,41
1988_KOR,KOR,1988,287,136,423,10,20,11,16,17,1,41,34,75
1992_KOR,KOR,1992,173,76,249,10,4,10,19,2,3,24,24,48
1996_KOR,KOR,1996,190,113,303,3,12,4,5,37,3,19,45,64
2000_KOR,KOR,2000,175,106,281,6,24,29,4,2,6,59,12,71
2004_KOR,KOR,2004,145,119,264,9,8,5,3,20,5,22,28,50
2008_KOR,KOR,2008,159,106,265,34,6,7,7,5,19,47,31,78
2012_KOR,KOR,2012,135,115,250,9,7,26,5,4,4,42,13,55
2016_KOR,KOR,2016,103,104,207,4,2,6,5,1,4,12,10,22
2016_KOS,KOS,2016,3,5,8,0,0,0,1,0,0,0,1,1
1972_KSA,KSA,1972,10,0,10,0,0,0,0,0,0,0,0,0
1976_KSA,KSA,1976,14,0,14,0,0,0,0,0,0,0,0,0
1984_KSA,KSA,1984,37,0,37,0,0,0,0,0,0,0,0,0
1988_KSA,KSA,1988,9,0,9,0,0,0,0,0,0,0,0,0
1992_KSA,KSA,1992,9,0,9,0,0,0,0,0,0,0,0,0
1996_KSA,KSA,1996,29,0,29,0,0,0,0,0,0,0,0,0
2000_KSA,KSA,2000,18,0,18,0,1,1,0,0,0,2,0,2
2004_KSA,KSA,2004,16,0,16,0,0,0,0,0,0,0,0,0
2008_KSA,KSA,2008,14,0,14,0,0,0,0,0,0,0,0,0
2012_KSA,KSA,2012,16,2,18,0,0,4,0,0,0,4,0,4
2016_KSA,KSA,2016,7,3,10,0,0,0,0,0,0,0,0,0
1968_KUW,KUW,1968,2,0,2,0,0,0,0,0,0,0,0,0
1972_KUW,KUW,1972,4,0,4,0,0,0,0,0,0,0,0,0
1976_KUW,KUW,1976,15,0,15,0,0,0,0,0,0,0,0,0
1980_KUW,KUW,1980,56,0,56,0,0,0,0,0,0,0,0,0
1984_KUW,KUW,1984,23,0,23,0,0,0,0,0,0,0,0,0
1988_KUW,KUW,1988,25,0,25,0,0,0,0,0,0,0,0,0
1992_KUW,KUW,1992,32,0,32,0,0,0,0,0,0,0,0,0
1996_KUW,KUW,1996,25,0,25,0,0,0,0,0,0,0,0,0
2000_KUW,KUW,2000,29,0,29,0,0,1,0,0,0,1,0,1
2004_KUW,KUW,2004,10,1,11,0,0,0,0,0,0,0,0,0
2008_KUW,KUW,2008,8,0,8,0,0,0,0,0,0,0,0,0
2012_KUW,KUW,2012,8,2,10,0,0,1,0,0,0,1,0,1
1980_LAO,LAO,1980,17,2,19,0,0,0,0,0,0,0,0,0
1988_LAO,LAO,1988,2,1,3,0,0,0,0,0,0,0,0,0
1992_LAO,LAO,1992,6,0,6,0,0,0,0,0,0,0,0,0
1996_LAO,LAO,1996,4,1,5,0,0,0,0,0,0,0,0,0
2000_LAO,LAO,2000,2,1,3,0,0,0,0,0,0,0,0,0
2004_LAO,LAO,2004,3,2,5,0,0,0,0,0,0,0,0,0
2008_LAO,LAO,2008,2,2,4,0,0,0,0,0,0,0,0,0
2012_LAO,LAO,2012,2,1,3,0,0,0,0,0,0,0,0,0
2016_LAO,LAO,2016,3,2,5,0,0,0,0,0,0,0,0,0
1924_LAT,LAT,1924,37,0,37,0,0,0,0,0,0,0,0,0
1928_LAT,LAT,1928,16,2,18,0,0,0,0,0,0,0,0,0
1932_LAT,LAT,1932,5,0,5,0,1,0,0,0,0,1,0,1
1936_LAT,LAT,1936,52,3,55,0,1,1,0,0,0,2,0,2
1992_LAT,LAT,1992,44,13,57,0,2,1,0,0,0,3,0,3
1996_LAT,LAT,1996,34,13,47,0,1,0,0,0,0,1,0,1
2000_LAT,LAT,2000,30,15,45,1,1,1,0,0,0,3,0,3
2004_LAT,LAT,2004,22,10,32,0,3,0,0,1,0,3,1,4
2008_LAT,LAT,2008,29,18,47,1,1,1,0,0,0,3,0,3
2012_LAT,LAT,2012,31,14,45,1,0,2,0,0,0,3,0,3
2016_LAT,LAT,2016,19,13,32,0,0,0,0,0,0,0,0,0
1968_LBA,LBA,1968,1,0,1,0,0,0,0,0,0,0,0,0
1980_LBA,LBA,1980,27,2,29,0,0,0,0,0,0,0,0,0
1988_LBA,LBA,1988,6,0,6,0,0,0,0,0,0,0,0,0
1992_LBA,LBA,1992,5,0,5,0,0,0,0,0,0,0,0,0
1996_LBA,LBA,1996,5,0,5,0,0,0,0,0,0,0,0,0
2000_LBA,LBA,2000,3,0,3,0,0,0,0,0,0,0,0,0
2004_LBA,LBA,2004,6,2,8,0,0,0,0,0,0,0,0,0
2008_LBA,LBA,2008,4,2,6,0,0,0,0,0,0,0,0,0
2012_LBA,LBA,2012,3,1,4,0,0,0,0,0,0,0,0,0
2016_LBA,LBA,2016,6,1,7,0,0,0,0,0,0,0,0,0
1956_LBR,LBR,1956,4,0,4,0,0,0,0,0,0,0,0,0
1960_LBR,LBR,1960,4,0,4,0,0,0,0,0,0,0,0,0
1964_LBR,LBR,1964,1,0,1,0,0,0,0,0,0,0,0,0
1972_LBR,LBR,1972,5,0,5,0,0,0,0,0,0,0,0,0
1984_LBR,LBR,1984,6,1,7,0,0,0,0,0,0,0,0,0
1988_LBR,LBR,1988,7,1,8,0,0,0,0,0,0,0,0,0
1996_LBR,LBR,1996,4,1,5,0,0,0,0,0,0,0,0,0
2000_LBR,LBR,2000,6,2,8,0,0,0,0,0,0,0,0,0
2004_LBR,LBR,2004,1,1,2,0,0,0,0,0,0,0,0,0
2008_LBR,LBR,2008,2,1,3,0,0,0,0,0,0,0,0,0
2012_LBR,LBR,2012,1,2,3,0,0,0,0,0,0,0,0,0
2016_LBR,LBR,2016,1,1,2,0,0,0,0,0,0,0,0,0
1996_LCA,LCA,1996,5,1,6,0,0,0,0,0,0,0,0,0
2000_LCA,LCA,2000,3,2,5,0,0,0,0,0,0,0,0,0
2004_LCA,LCA,2004,1,1,2,0,0,0,0,0,0,0,0,0
2008_LCA,LCA,2008,1,3,4,0,0,0,0,0,0,0,0,0
2012_LCA,LCA,2012,1,3,4,0,0,0,0,0,0,0,0,0
2016_LCA,LCA,2016,2,3,5,0,0,0,0,0,0,0,0,0
1972_LES,LES,1972,1,0,1,0,0,0,0,0,0,0,0,0
1980_LES,LES,1980,5,0,5,0,0,0,0,0,0,0,0,0
1984_LES,LES,1984,4,0,4,0,0,0,0,0,0,0,0,0
1988_LES,LES,1988,6,0,6,0,0,0,0,0,0,0,0,0
1992_LES,LES,1992,5,1,6,0,0,0,0,0,0,0,0,0
1996_LES,LES,1996,5,4,9,0,0,0,0,0,0,0,0,0
2000_LES,LES,2000,4,2,6,0,0,0,0,0,0,0,0,0
2004_LES,LES,2004,1,2,3,0,0,0,0,0,0,0,0,0
2008_LES,LES,2008,4,1,5,0,0,0,0,0,0,0,0,0
2012_LES,LES,2012,2,2,4,0,0,0,0,0,0,0,0,0
2016_LES,LES,2016,7,1,8,0,0,0,0,0,0,0,0,0
1948_LIB,LIB,1948,10,0,10,0,0,0,0,0,0,0,0,0
1952_LIB,LIB,1952,10,0,10,0,1,1,0,0,0,2,0,2
1956_LIB,LIB,1956,3,0,3,0,0,0,0,0,0,0,0,0
1960_LIB,LIB,1960,21,0,21,0,0,0,0,0,0,0,0,0
1964_LIB,LIB,1964,9,0,9,0,0,0,0,0,0,0,0,0
1968_LIB,LIB,1968,14,0,14,0,0,0,0,0,0,0,0,0
1972_LIB,LIB,1972,18,2,20,0,1,0,0,0,0,1,0,1
1976_LIB,LIB,1976,3,1,4,0,0,0,0,0,0,0,0,0
1980_LIB,LIB,1980,17,1,18,0,0,1,0,0,0,1,0,1
1984_LIB,LIB,1984,25,1,26,0,0,0,0,0,0,0,0,0
1988_LIB,LIB,1988,23,2,25,0,0,0,0,0,0,0,0,0
1992_LIB,LIB,1992,16,0,16,0,0,0,0,0,0,0,0,0
1996_LIB,LIB,1996,0,1,1,0,0,0,0,0,0,0,0,0
2000_LIB,LIB,2000,4,2,6,0,0,0,0,0,0,0,0,0
2004_LIB,LIB,2004,3,2,5,0,0,0,0,0,0,0,0,0
2008_LIB,LIB,2008,4,2,6,0,0,0,0,0,0,0,0,0
2012_LIB,LIB,2012,3,7,10,0,0,0,0,0,0,0,0,0
2016_LIB,LIB,2016,4,5,9,0,0,0,0,0,0,0,0,0
1936_LIE,LIE,1936,10,0,10,0,0,0,0,0,0,0,0,0
1948_LIE,LIE,1948,12,0,12,0,0,0,0,0,0,0,0,0
1952_LIE,LIE,1952,2,0,2,0,0,0,0,0,0,0,0,0
1956_LIE,LIE,1956,8,0,8,0,0,0,0,0,0,0,0,0
1960_LIE,LIE,1960,8,0,8,0,0,0,0,0,0,0,0,0
1964_LIE,LIE,1964,8,0,8,0,0,0,0,0,0,0,0,0
1968_LIE,LIE,1968,10,1,11,0,0,0,0,0,0,0,0,0
1972_LIE,LIE,1972,9,1,10,0,0,0,0,0,0,0,0,0
1976_LIE,LIE,1976,10,5,15,0,0,1,0,0,1,1,1,2
1980_LIE,LIE,1980,4,3,7,0,1,0,0,1,0,1,1,2
1984_LIE,LIE,1984,12,5,17,0,0,1,0,0,1,1,1,2
1988_LIE,LIE,1988,20,5,25,0,0,1,0,0,0,1,0,1
1992_LIE,LIE,1992,10,4,14,0,0,0,0,0,0,0,0,0
1996_LIE,LIE,1996,0,2,2,0,0,0,0,0,0,0,0,0
2000_LIE,LIE,2000,1,1,2,0,0,0,0,0,0,0,0,0
2004_LIE,LIE,2004,1,0,1,0,0,0,0,0,0,0,0,0
2008_LIE,LIE,2008,2,0,2,0,0,0,0,0,0,0,0,0
2012_LIE,LIE,2012,1,2,3,0,0,0,0,0,0,0,0,0
2016_LIE,LIE,2016,1,2,3,0,0,0,0,0,0,0,0,0
1924_LTU,LTU,1924,13,0,13,0,0,0,0,0,0,0,0,0
1928_LTU,LTU,1928,12,1,13,0,0,0,0,0,0,0,0,0
1992_LTU,LTU,1992,39,14,53,1,0,12,0,0,0,13,0,13
1996_LTU,LTU,1996,45,16,61,0,0,11,0,0,0,11,0,11
2000_LTU,LTU,2000,40,21,61,1,0,12,1,0,3,13,4,17
2004_LTU,LTU,2004,47,12,59,1,1,0,0,1,0,2,1,3
2008_LTU,LTU,2008,44,27,71,0,1,3,0,1,0,4,1,5
2012_LTU,LTU,2012,39,23,62,0,1,2,2,0,0,3,2,5
2016_LTU,LTU,2016,48,19,67,0,2,3,0,0,2,5,2,7
1900_LUX,LUX,1900,1,0,1,1,0,0,0,0,0,1,0,1
1912_LUX,LUX,1912,21,0,21,0,0,0,0,0,0,0,0,0
1920_LUX,LUX,1920,25,0,25,0,1,0,0,0,0,1,0,1
1924_LUX,LUX,1924,46,2,48,1,1,0,0,0,0,2,0,2
1928_LUX,LUX,1928,51,2,53,1,0,0,0,0,0,1,0,1
1932_LUX,LUX,1932,3,0,3,0,0,0,0,0,0,0,0,0
1936_LUX,LUX,1936,52,1,53,0,0,0,0,0,0,0,0,0
1948_LUX,LUX,1948,42,3,45,0,0,0,0,0,0,0,0,0
1952_LUX,LUX,1952,44,0,44,1,0,0,0,0,0,1,0,1
1956_LUX,LUX,1956,10,1,11,0,0,0,0,0,0,0,0,0
1960_LUX,LUX,1960,47,5,52,0,0,0,0,0,0,0,0,0
1964_LUX,LUX,1964,10,2,12,0,0,0,0,0,0,0,0,0
1968_LUX,LUX,1968,3,2,5,0,0,0,0,0,0,0,0,0
1972_LUX,LUX,1972,10,1,11,0,0,0,0,0,0,0,0,0
1976_LUX,LUX,1976,8,0,8,0,0,0,0,0,0,0,0,0
1980_LUX,LUX,1980,3,0,3,0,0,0,0,0,0,0,0,0
1984_LUX,LUX,1984,4,1,5,0,0,0,0,0,0,0,0,0
1988_LUX,LUX,1988,6,3,9,0,0,0,0,0,0,0,0,0
