X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102
,ARC,ARC,ATH,ATH,BBL,BBL,BDM,BDM,BK3,BK3,BKB,BKB,BMF,BMF,BMX,BMX,BOX,BOX,CLB,CLB,CRD,CRD,CSL,CSL,CSP,CSP,CTR,CTR,DIV,DIV,EDR,EDR,EJP,EJP,EVE,EVE,FBL,FBL,FEN,FEN,GAR,GAR,GLF,GLF,GRY,GRY,GTR,GTR,HBL,HBL,HOC,HOC,JUD,JUD,KTE,KTE,MPN,MPN,MTB,MTB,OWS,OWS,ROW,ROW,RU7,RU7,SAL,SAL,SHO,SHO,SKB,SKB,SOF,SOF,SRF,SRF,SWA,SWA,SWM,SWM,TEN,TEN,TKW,TKW,TRI,TRI,TTE,TTE,VBV,VBV,VVO,VVO,WLF,WLF,WPO,WPO,WRE,WRE,Total,Total,Total
,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,all
COD,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
COK,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
COL,1,1,15,8,-,-,-,-,-,-,-,-,-,-,2,1,4,2,-,-,4,1,-,-,-,-,1,-,3,-,-,-,1,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,1,1,3,1,1,1,-,-,-,-,-,-,-,-,2,1,-,-,3,-,45,22,67
COM,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
CPV,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
CRC,-,-,1,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,13
CRO,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,3,-,-,-,3,1,3,1,-,-,-,-,-,-,-,-,1,1,4,2,2,2,-,-,3,-,-,-,-,-,-,-,13,-,2,-,40,20,60
CUB,-,-,5,11,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,1,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,3,-,-,1,1,-,-,-,-,-,1,-,-,-,-,3,2,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,1,1,-,2,-,-,1,3,-,-,9,3,35,32,67
CYP,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,15
CZE,-,1,12,14,-,-,-,-,-,-,12,-,-,-,-,-,-,-,1,-,2,1,2,2,4,-,1,-,-,-,-,-,3,1,2,-,-,-,2,-,1,1,1,1,-,-,-,-,-,-,-,-,2,-,-,-,2,-,1,1,1,-,5,2,-,-,1,-,6,2,-,-,-,-,-,-,-,-,3,5,1,5,-,-,-,2,1,1,2,-,-,-,1,-,-,-,1,-,70,39,109
DEN,-,1,7,6,-,-,5,4,-,-,-,-,-,-,-,1,-,-,-,-,4,2,-,-,-,4,5,2,-,-,-,3,1,-,1,-,-,-,-,-,-,-,2,2,-,-,-,-,15,-,-,-,-,1,-,-,-,-,1,2,-,-,3,6,-,-,3,5,2,2,1,-,-,-,-,-,-,-,3,8,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,55,49,104
DJI,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,4
DMA,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
DOM,-,-,4,3,24,-,-,-,-,-,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,1,-,-,-,-,-,-,-,12,2,3,-,-,-,-,42,23,65
ECU,-,1,7,9,-,-,-,-,-,-,-,-,-,-,1,1,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,4,-,-,-,2,17,29,46
EGY,1,1,4,-,-,-,1,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,1,-,1,1,1,-,-,4,-,-,-,18,-,9,5,1,2,-,-,-,6,1,1,15,-,-,-,3,-,2,3,2,2,-,-,-,-,1,-,-,-,1,1,7,4,-,-,-,-,-,-,-,8,3,1,1,1,2,2,-,1,3,3,-,-,-,-,-,-,-,-,6,2,89,48,137
EOR,-,-,5,2,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,19,10,29
ERI,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,13
ESA,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,5
ESP,1,1,31,21,-,-,1,1,-,-,12,11,-,-,-,-,4,-,1,-,5,2,2,2,8,3,2,-,2,-,2,1,1,-,1,-,20,-,1,-,5,4,2,2,-,-,-,-,16,15,18,17,3,4,1,1,1,-,2,1,1,1,4,2,-,-,8,7,1,1,2,2,-,-,-,-,-,8,3,6,4,4,3,1,3,2,1,2,2,2,-,-,3,1,13,13,-,-,190,138,328
EST,-,1,6,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,4,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,2,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,19,14,33
ETH,-,-,15,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,19,36
FIJ,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,13,13,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,16,16,32
FIN,1,-,9,12,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,1,-,1,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,22,23,45
FRA,3,1,40,15,-,-,2,2,-,4,12,12,1,-,3,2,4,1,2,2,5,1,2,2,4,4,5,7,2,1,1,2,3,1,3,-,17,-,9,9,3,4,2,2,-,-,1,1,16,16,-,-,6,7,1,2,2,2,2,2,2,1,4,8,-,12,7,7,4,6,3,2,-,-,2,2,-,2,15,10,6,4,-,2,3,2,3,3,-,-,12,-,1,3,-,-,-,2,212,168,380
FSM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
GAB,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,5
GAM,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,4
GBR,3,3,36,38,-,-,4,3,-,-,-,-,1,1,1,1,7,4,-,1,4,2,2,2,1,3,9,6,6,6,1,2,3,1,2,1,-,17,1,-,4,4,2,2,-,-,-,2,-,-,16,16,1,5,-,-,2,2,1,1,1,1,19,22,13,13,8,7,2,2,-,2,-,-,-,-,-,2,17,13,5,1,2,3,2,3,2,1,-,-,-,-,-,4,-,-,-,-,178,197,375
GBS,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,1,4
GEO,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,7,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,7,-,28,5,33
GEQ,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
GER,1,3,40,40,-,-,3,2,-,-,12,-,-,1,-,-,2,1,2,-,3,5,2,2,9,8,8,6,5,4,-,3,4,-,1,2,16,-,8,1,4,4,2,2,-,-,-,-,14,-,18,18,7,6,3,1,2,2,2,2,2,2,18,6,-,-,4,6,3,5,1,1,-,-,1,-,-,-,17,11,6,3,1,-,2,2,3,3,2,4,-,-,2,2,-,-,5,2,234,158,392
GHA,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,10,2,12
GRE,-,1,8,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,-,1,3,-,-,4,4,1,1,-,-,-,-,-,-,-,2,8,2,1,1,-,1,-,-,1,-,-,-,-,-,1,-,13,-,1,1,45,30,75
GRN,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,6
GUA,-,-,7,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2,-,-,1,1,1,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,14,10,24
GUI,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,4
GUM,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,5
GUY,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,4,7
HAI,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,6
HKG,-,-,1,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,1,-,-,-,4,4,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,-,-,-,17,26,43
HON,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,2,23
HUN,1,-,7,11,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,5,8,-,1,-,-,-,1,-,-,-,17,-,-,3,4,1,-,2,2,1,1,1,1,1,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,20,12,-,-,1,-,2,2,2,4,-,-,-,-,1,-,13,13,5,1,81,91,172
INA,3,1,1,1,-,-,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,16,12,28
IND,3,1,14,8,-,-,3,1,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,2,2,-,-,-,-,-,-,18,16,-,1,-,-,-,-,-,-,-,-,2,-,-,-,3,1,8,7,-,-,-,-,-,-,-,-,2,1,1,2,-,-,-,-,2,2,-,-,-,-,-,1,-,-,3,4,67,53,120
IRI,1,-,2,1,-,-,-,1,-,-,12,-,-,-,-,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,-,-,-,-,2,4,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,1,-,-,-,12,-,2,-,-,-,11,-,55,10,65
IRL,-,-,13,12,-,-,1,-,-,-,-,-,-,-,-,-,4,3,-,-,3,-,1,-,-,-,2,2,1,1,-,1,4,-,2,1,-,-,-,-,1,1,2,2,-,-,-,-,-,-,-,18,1,1,-,-,-,1,-,-,-,-,4,9,13,-,2,1,1,-,-,-,-,-,-,-,-,-,6,3,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,63,57,120
IRQ,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
ISL,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,4
ISR,1,-,3,6,24,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,2,1,-,-,-,7,-,-,-,-,-,-,6,6,-,-,-,-,1,-,1,-,-,-,-,-,1,4,1,-,-,-,-,-,-,1,-,2,9,3,-,-,-,1,2,-,-,-,-,-,-,-,1,-,-,-,-,-,55,34,89
ISV,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,4
ITA,1,3,35,29,-,-,-,-,-,4,12,-,-,-,1,-,-,4,2,1,6,4,1,2,3,1,5,5,2,4,1,-,1,-,-,3,-,-,12,12,2,5,2,2,-,7,-,-,-,-,-,-,4,4,3,2,-,2,3,1,2,1,14,10,-,-,4,5,9,5,2,1,-,15,1,-,-,8,21,15,3,3,2,-,2,3,-,1,4,2,12,12,3,2,13,-,2,-,188,178,366
IVB,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3
JAM,-,-,21,27,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,30,54
JOR,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,14
JPN,3,3,42,21,24,-,6,7,4,4,11,12,1,1,1,1,4,2,2,2,2,2,2,2,5,3,3,3,6,5,3,-,3,-,4,-,19,20,12,9,6,5,2,2,-,7,2,2,15,16,18,18,7,7,4,4,1,2,1,1,1,1,1,2,13,13,8,7,6,6,4,6,-,15,2,2,-,8,17,16,5,6,2,2,2,2,3,3,2,2,12,12,4,3,13,13,6,6,314,286,600
KAZ,3,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,8,1,1,-,3,-,1,1,2,3,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,5,1,3,2,1,1,-,-,1,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,-,2,1,1,3,4,1,1,-,-,1,1,-,-,-,-,1,1,13,-,8,3,64,33,97
KEN,-,-,20,18,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,2,-,12,-,-,-,-,-,-,36,49,85
KGZ,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,6,3,11,5,16
KIR,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,3
KOR,3,3,5,2,24,-,3,7,-,-,-,11,-,-,-,-,-,2,1,1,-,1,-,-,1,-,-,1,3,2,1,-,-,-,-,-,20,-,9,9,5,2,2,4,-,-,-,-,-,15,-,-,7,7,1,-,2,2,-,-,-,-,-,1,13,-,4,-,7,8,-,-,-,-,-,-,-,-,7,5,1,-,3,3,-,-,3,3,-,-,-,12,3,4,-,-,2,-,130,105,235
KOS,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,6,11
