id,Region,Year,male_medal_efficiency,female_medal_efficiency,total_medal_efficiency
1896_AUS,AUS,1896,1,0,1
1900_AUS,AUS,1900,2,0,2
1904_AUS,AUS,1904,0.5,0,0.5
1906_AUS,AUS,1906,0.25,0,0.25
1920_AUS,AUS,1920,1.083,0,1
1924_AUS,AUS,1924,0.778,0,0.757
1928_AUS,AUS,1928,0.357,0,0.278
1932_AUS,AUS,1932,1,1.5,1.154
1936_AUS,AUS,1936,0.034,0,0.03
1948_AUS,AUS,1948,0.273,1.222,0.387
1952_AUS,AUS,1952,0.282,0.417,0.3
1956_AUS,AUS,1956,0.291,0.667,0.346
1960_AUS,AUS,1960,0.312,0.697,0.37
1964_AUS,AUS,1964,0.228,0.548,0.282
1968_AUS,AUS,1968,0.645,1,0.71
1972_AUS,AUS,1972,0.224,0.414,0.256
1976_AUS,AUS,1976,0.252,0,0.202
1980_AUS,AUS,1980,0.289,0.156,0.256
1984_AUS,AUS,1984,0.356,0.213,0.313
1988_AUS,AUS,1988,0.112,0.986,0.351
1992_AUS,AUS,1992,0.48,0.212,0.392
1994_AUS,AUS,1994,0.222,0,0.16
1996_AUS,AUS,1996,0.372,0.868,0.571
1998_AUS,AUS,1998,0,0.125,0.043
2000_AUS,AUS,2000,0.455,0.764,0.593
2002_AUS,AUS,2002,0.308,0.333,0.32
2004_AUS,AUS,2004,0.743,0.574,0.67
2006_AUS,AUS,2006,0.174,0.059,0.125
2008_AUS,AUS,2008,0.416,0.668,0.532
2010_AUS,AUS,2010,0.1,0.4,0.25
2012_AUS,AUS,2012,0.403,0.533,0.462
2014_AUS,AUS,2014,0.069,0.097,0.083
2016_AUS,AUS,2016,0.327,0.495,0.412
1896_AUT,AUT,1896,3.333,0,3.333
1900_AUT,AUT,1900,0.313,0,0.313
1904_AUT,AUT,1904,1.5,0,1.5
1906_AUT,AUT,1906,0.677,0,0.677
1908_AUT,AUT,1908,0.143,0,0.143
1912_AUT,AUT,1912,0.241,0.667,0.271
1924_AUT,AUT,1924,0.271,1.6,0.396
1928_AUT,AUT,1928,0.19,0.455,0.216
1932_AUT,AUT,1932,0.304,2,0.5
1936_AUT,AUT,1936,0.43,0.111,0.401
1948_AUT,AUT,1948,0.076,0.364,0.139
1952_AUT,AUT,1952,0.116,0.276,0.147
1956_AUT,AUT,1956,0.152,0.667,0.234
1960_AUT,AUT,1960,0.182,0.033,0.147
1964_AUT,AUT,1964,0.272,0.4,0.295
1968_AUT,AUT,1968,0.316,0.381,0.328
1972_AUT,AUT,1972,0.032,0.24,0.066
1976_AUT,AUT,1976,0.12,0.1,0.117
1980_AUT,AUT,1980,0.227,0.276,0.238
1984_AUT,AUT,1984,0.063,0,0.048
1988_AUT,AUT,1988,0.167,0.364,0.195
1992_AUT,AUT,1992,0.431,0.182,0.362
1994_AUT,AUT,1994,0.154,0.6,0.237
1996_AUT,AUT,1996,0.054,0.063,0.056
1998_AUT,AUT,1998,0.233,0.304,0.25
2000_AUT,AUT,2000,0.218,0.054,0.152
2002_AUT,AUT,2002,0.352,0.158,0.311
2004_AUT,AUT,2004,0.204,0.3,0.23
2006_AUT,AUT,2006,0.818,0.333,0.699
2008_AUT,AUT,2008,0.05,0.067,0.057
2010_AUT,AUT,2010,1.041,0.346,0.8
2012_AUT,AUT,2012,0,0,0
2014_AUT,AUT,2014,0.384,0.45,0.405
2016_AUT,AUT,2016,0.027,0.029,0.028
1996_AZE,AZE,1996,0.1,0,0.087
1998_AZE,AZE,1998,0,0,0
2000_AZE,AZE,2000,0.2,0.667,0.29
2002_AZE,AZE,2002,0,0,0
2004_AZE,AZE,2004,0.2,0.333,0.222
2006_AZE,AZE,2006,0,0,0
2008_AZE,AZE,2008,0.367,0.071,0.273
2010_AZE,AZE,2010,0,0,0
2012_AZE,AZE,2012,0.395,0.214,0.346
2014_AZE,AZE,2014,0,0,0
2016_AZE,AZE,2016,0.548,0.357,0.5
1952_BAH,BAH,1952,0,0,0
1956_BAH,BAH,1956,0.5,0,0.5
1960_BAH,BAH,1960,0,0,0
1964_BAH,BAH,1964,0.727,0,0.727
1968_BAH,BAH,1968,0,0,0
1972_BAH,BAH,1972,0,0,0
1976_BAH,BAH,1976,0,0,0
1984_BAH,BAH,1984,0,0,0
1988_BAH,BAH,1988,0,0,0
1992_BAH,BAH,1992,0.083,0,0.071
1996_BAH,BAH,1996,0,1.429,0.385
2000_BAH,BAH,2000,0.313,1.778,0.84
2004_BAH,BAH,2004,0,0.556,0.227
2008_BAH,BAH,2008,0.813,0,0.52
2012_BAH,BAH,2012,1.333,0,0.762
2016_BAH,BAH,2016,0.294,0.333,0.31
1984_BAN,BAN,1984,0,0,0
1988_BAN,BAN,1988,0,0,0
1992_BAN,BAN,1992,0,0,0
1996_BAN,BAN,1996,0,0,0
2000_BAN,BAN,2000,0,0,0
2004_BAN,BAN,2004,0,0,0
2008_BAN,BAN,2008,0,0,0
2012_BAN,BAN,2012,0,0,0
2016_BAN,BAN,2016,0,0,0
1968_BAR,BAR,1968,0,0,0
1972_BAR,BAR,1972,0,0,0
1976_BAR,BAR,1976,0,0,0
1984_BAR,BAR,1984,0,0,0
1988_BAR,BAR,1988,0,0,0
1992_BAR,BAR,1992,0,0,0
1996_BAR,BAR,1996,0,0,0
2000_BAR,BAR,2000,0.083,0,0.056
2004_BAR,BAR,2004,0,0,0
2008_BAR,BAR,2008,0,0,0
2012_BAR,BAR,2012,0,0,0
2016_BAR,BAR,2016,0,0,0
1996_BDI,BDI,1996,0.667,0,0.571
2000_BDI,BDI,2000,0,0,0
2004_BDI,BDI,2004,0,0,0
2008_BDI,BDI,2008,0,0,0
2012_BDI,BDI,2012,0,0,0
2016_BDI,BDI,2016,0,0.5,0.222
1900_BEL,BEL,1900,1.141,0,1.141
1906_BEL,BEL,1906,0.75,0,0.75
1908_BEL,BEL,1908,0.8,0,0.8
1912_BEL,BEL,1912,0.943,0,0.917
1920_BEL,BEL,1920,0.859,0,0.833
1924_BEL,BEL,1924,0.388,0,0.374
1928_BEL,BEL,1928,0.035,0,0.033
1932_BEL,BEL,1932,0.03,0,0.024
1936_BEL,BEL,1936,0.083,0,0.08
1948_BEL,BEL,1948,0.31,0.19,0.294
1952_BEL,BEL,1952,0.129,0,0.125
1956_BEL,BEL,1956,0.07,0,0.066
1960_BEL,BEL,1960,0.065,0,0.059
1964_BEL,BEL,1964,0.136,0,0.132
1968_BEL,BEL,1968,0.052,0,0.049
1972_BEL,BEL,1972,0.048,0,0.045
1976_BEL,BEL,1976,0.077,0,0.057
1980_BEL,BEL,1980,0.089,0,0.066
1984_BEL,BEL,1984,0.163,0.111,0.149
1988_BEL,BEL,1988,0.057,0,0.033
1992_BEL,BEL,1992,0.021,0.115,0.055
1994_BEL,BEL,1994,0,0,0
1996_BEL,BEL,1996,0.171,0.35,0.23
1998_BEL,BEL,1998,1,0,1
2000_BEL,BEL,2000,0.167,0.125,0.147
2002_BEL,BEL,2002,0,0,0
2004_BEL,BEL,2004,0.032,0.263,0.12
2006_BEL,BEL,2006,0,0,0
2008_BEL,BEL,2008,0,0.706,0.128
2010_BEL,BEL,2010,0,0,0
2012_BEL,BEL,2012,0.029,0.048,0.036
2014_BEL,BEL,2014,0,0,0
2016_BEL,BEL,2016,0.557,0.147,0.423
1972_BEN,BEN,1972,0,0,0
1980_BEN,BEN,1980,0,0,0
1984_BEN,BEN,1984,0,0,0
1988_BEN,BEN,1988,0,0,0
1992_BEN,BEN,1992,0,0,0
1996_BEN,BEN,1996,0,0,0
2000_BEN,BEN,2000,0,0,0
2004_BEN,BEN,2004,0,0,0
2008_BEN,BEN,2008,0,0,0
2012_BEN,BEN,2012,0,0,0
2016_BEN,BEN,2016,0,0,0
1936_BER,BER,1936,0,0,0
1948_BER,BER,1948,0,0,0
1952_BER,BER,1952,0,0,0
1956_BER,BER,1956,0,0,0
1960_BER,BER,1960,0,0,0
1964_BER,BER,1964,0,0,0
1968_BER,BER,1968,0,0,0
1972_BER,BER,1972,0,0,0
1976_BER,BER,1976,0.067,0,0.063
1984_BER,BER,1984,0,0,0
1988_BER,BER,1988,0,0,0
1992_BER,BER,1992,0,0,0
1994_BER,BER,1994,0,0,0
1996_BER,BER,1996,0,0,0
1998_BER,BER,1998,0,0,0
2000_BER,BER,2000,0,0,0
2002_BER,BER,2002,0,0,0
2004_BER,BER,2004,0,0,0
2006_BER,BER,2006,0,0,0
2008_BER,BER,2008,0,0,0
2010_BER,BER,2010,0,0,0
2012_BER,BER,2012,0,0,0
2014_BER,BER,2014,0,0,0
2016_BER,BER,2016,0,0,0
1984_BHU,BHU,1984,0,0,0
1988_BHU,BHU,1988,0,0,0
1992_BHU,BHU,1992,0,0,0
1996_BHU,BHU,1996,0,0,0
2000_BHU,BHU,2000,0,0,0
2004_BHU,BHU,2004,0,0,0
2008_BHU,BHU,2008,0,0,0
2012_BHU,BHU,2012,0,0,0
2016_BHU,BHU,2016,0,0,0
1992_BIH,BIH,1992,0,0,0
1994_BIH,BIH,1994,0,0,0
1996_BIH,BIH,1996,0,0,0
1998_BIH,BIH,1998,0,0,0
2000_BIH,BIH,2000,0,0,0
2002_BIH,BIH,2002,0,0,0
2004_BIH,BIH,2004,0,0,0
2006_BIH,BIH,2006,0,0,0
2008_BIH,BIH,2008,0,0,0
2010_BIH,BIH,2010,0,0,0
2012_BIH,BIH,2012,0,0,0
2014_BIH,BIH,2014,0,0,0
2016_BIH,BIH,2016,0,0,0
1968_BIZ,BIZ,1968,0,0,0
1972_BIZ,BIZ,1972,0,0,0
1976_BIZ,BIZ,1976,0,0,0
1984_BIZ,BIZ,1984,0,0,0
1988_BIZ,BIZ,1988,0,0,0
1992_BIZ,BIZ,1992,0,0,0
1996_BIZ,BIZ,1996,0,0,0
2000_BIZ,BIZ,2000,0,0,0
2004_BIZ,BIZ,2004,0,0,0
2008_BIZ,BIZ,2008,0,0,0
2012_BIZ,BIZ,2012,0,0,0
2016_BIZ,BIZ,2016,0,0,0
1994_BLR,BLR,1994,0.095,0.167,0.121
1996_BLR,BLR,1996,0.132,0.242,0.178
1998_BLR,BLR,1998,0.045,0,0.034
2000_BLR,BLR,2000,0.139,0.433,0.281
2002_BLR,BLR,2002,0.023,0,0.016
2004_BLR,BLR,2004,0.171,0.174,0.172
2006_BLR,BLR,2006,0.143,0,0.071
2008_BLR,BLR,2008,0.419,0.226,0.328
2010_BLR,BLR,2010,0.182,0.071,0.149
2012_BLR,BLR,2012,0.18,0.338,0.25
2014_BLR,BLR,2014,0.267,0.455,0.346
2016_BLR,BLR,2016,0.189,0.134,0.158
1900_BOH,BOH,1900,0.333,0,0.286
1906_BOH,BOH,1906,0.077,0,0.077
1908_BOH,BOH,1908,0.211,0,0.211
1912_BOH,BOH,1912,0,0,0
1936_BOL,BOL,1936,0,0,0
1956_BOL,BOL,1956,0,0,0
1964_BOL,BOL,1964,0,0,0
1968_BOL,BOL,1968,0,0,0
1972_BOL,BOL,1972,0,0,0
1976_BOL,BOL,1976,0,0,0
1980_BOL,BOL,1980,0,0,0
1984_BOL,BOL,1984,0,0,0
1988_BOL,BOL,1988,0,0,0
1992_BOL,BOL,1992,0,0,0
1996_BOL,BOL,1996,0,0,0
2000_BOL,BOL,2000,0,0,0
2004_BOL,BOL,2004,0,0,0
2008_BOL,BOL,2008,0,0,0
2012_BOL,BOL,2012,0,0,0
2016_BOL,BOL,2016,0,0,0
1980_BOT,BOT,1980,0,0,0
1984_BOT,BOT,1984,0,0,0
1988_BOT,BOT,1988,0,0,0
1992_BOT,BOT,1992,0,0,0
1996_BOT,BOT,1996,0,0,0
2000_BOT,BOT,2000,0,0,0
2004_BOT,BOT,2004,0,0,0
2008_BOT,BOT,2008,0,0,0
2012_BOT,BOT,2012,0.667,0,0.5
2016_BOT,BOT,2016,0,0,0
1900_BRA,BRA,1900,0,0,0
1920_BRA,BRA,1920,0.579,0,0.579
1924_BRA,BRA,1924,0,0,0
1932_BRA,BRA,1932,0,0,0
1936_BRA,BRA,1936,0,0,0
1948_BRA,BRA,1948,0.169,0,0.143
1952_BRA,BRA,1952,0.065,0,0.062
1956_BRA,BRA,1956,0.087,0,0.085
1960_BRA,BRA,1960,0.183,0,0.181
1964_BRA,BRA,1964,0.2,0,0.197
1968_BRA,BRA,1968,0.068,0,0.066
1972_BRA,BRA,1972,0.026,0,0.025
1976_BRA,BRA,1976,0.042,0,0.038
1980_BRA,BRA,1980,0.231,0,0.198
1984_BRA,BRA,1984,0.571,0,0.49
1988_BRA,BRA,1988,0.339,0,0.269
1992_BRA,BRA,1992,0.391,0,0.286
1994_BRA,BRA,1994,0,0,0
1996_BRA,BRA,1996,0.288,0.738,0.421
1998_BRA,BRA,1998,0,0,0
2000_BRA,BRA,2000,0.283,0.326,0.303
2002_BRA,BRA,2002,0,0,0
2004_BRA,BRA,2004,0.605,0.319,0.465
2006_BRA,BRA,2006,0,0,0
2008_BRA,BRA,2008,0.446,0.713,0.575
2010_BRA,BRA,2010,0,0,0
2012_BRA,BRA,2012,0.595,0.487,0.544
2014_BRA,BRA,2014,0,0,0
2016_BRA,BRA,2016,0.565,0.087,0.351
1984_BRN,BRN,1984,0,0,0
1988_BRN,BRN,1988,0,0,0
1992_BRN,BRN,1992,0,0,0
1996_BRN,BRN,1996,0,0,0
2000_BRN,BRN,2000,0,0,0
2004_BRN,BRN,2004,0,0,0
2008_BRN,BRN,2008,0,0,0
2012_BRN,BRN,2012,0,0.125,0.083
2016_BRN,BRN,2016,0,0.462,0.182
1996_BRU,BRU,1996,0,0,0
2000_BRU,BRU,2000,0,0,0
2004_BRU,BRU,2004,0,0,0
2012_BRU,BRU,2012,0,0,0
2016_BRU,BRU,2016,0,0,0
1924_BUL,BUL,1924,0,0,0
1928_BUL,BUL,1928,0,0,0
1932_BUL,BUL,1932,0,0,0
1936_BUL,BUL,1936,0,0,0
1948_BUL,BUL,1948,0,0,0
1952_BUL,BUL,1952,0.016,0,0.014
1956_BUL,BUL,1956,0.48,0,0.444
1960_BUL,BUL,1960,0.14,0,0.124
1964_BUL,BUL,1964,0.407,0,0.343
1968_BUL,BUL,1968,0.51,0,0.449
1972_BUL,BUL,1972,0.4,0.25,0.373
1976_BUL,BUL,1976,0.216,0.887,0.406
1980_BUL,BUL,1980,0.545,0.625,0.57
1984_BUL,BUL,1984,0,0,0
1988_BUL,BUL,1988,0.357,0.557,0.427
1992_BUL,BUL,1992,0.156,0.136,0.149
1994_BUL,BUL,1994,0,0,0
1996_BUL,BUL,1996,0.311,0.528,0.382
1998_BUL,BUL,1998,0,0.364,0.211
2000_BUL,BUL,2000,0.346,0.256,0.308
2002_BUL,BUL,2002,0,0.4,0.174
2004_BUL,BUL,2004,0.245,0.261,0.253
2006_BUL,BUL,2006,0,0.2,0.095
2008_BUL,BUL,2008,0.07,0.222,0.129
2010_BUL,BUL,2010,0,0,0
2012_BUL,BUL,2012,0.027,0.077,0.048
2014_BUL,BUL,2014,0,0,0
2016_BUL,BUL,2016,0,0.364,0.157
1972_BUR,BUR,1972,0,0,0
1988_BUR,BUR,1988,0,0,0
1992_BUR,BUR,1992,0,0,0
1996_BUR,BUR,1996,0,0,0
2000_BUR,BUR,2000,0,0,0
2004_BUR,BUR,2004,0,0,0
2008_BUR,BUR,2008,0,0,0
2012_BUR,BUR,2012,0,0,0
2016_BUR,BUR,2016,0,0,0
1968_CAF,CAF,1968,0,0,0
1984_CAF,CAF,1984,0,0,0
1988_CAF,CAF,1988,0,0,0
1992_CAF,CAF,1992,0,0,0
1996_CAF,CAF,1996,0,0,0
2000_CAF,CAF,2000,0,0,0
2004_CAF,CAF,2004,0,0,0
2008_CAF,CAF,2008,0,0,0
2012_CAF,CAF,2012,0,0,0
2016_CAF,CAF,2016,0,0,0
1956_CAM,CAM,1956,0,0,0
1964_CAM,CAM,1964,0,0,0
1972_CAM,CAM,1972,0,0,0
